epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6766,0.68452,2.66396,1.43841,0.43221,0.7095,0.5984,0.42139,1.08457,4.04249,2.15244,0.000412979,0.000412979,0.000412979
2,98.1772,0.39516,1.66037,1.1649,0.49582,0.84558,0.6551,0.59152,0.5721,2.72374,1.46793,0.000813219,0.000813219,0.000813219
3,145.752,0.33725,1.32706,1.10151,0.45276,0.76692,0.5777,0.52389,0.46822,1.96277,1.29863,0.00119696,0.00119696,0.00119696
4,193.109,0.31638,1.13957,1.06924,0.44889,0.82018,0.71292,0.69571,0.43338,1.39008,1.30083,0.00117575,0.00117575,0.00117575
5,240.191,0.28619,0.99237,1.04095,0.62736,0.80832,0.73905,0.70124,0.43096,1.04457,1.15058,0.001151,0.001151,0.001151
6,287.22,0.2674,0.85941,1.02333,0.61862,0.91748,0.82135,0.80456,0.26446,0.9248,0.96618,0.00112625,0.00112625,0.00112625
7,334.404,0.25319,0.80755,1.00881,0.4993,0.78847,0.58371,0.5738,0.28873,1.42875,1.02906,0.0011015,0.0011015,0.0011015
8,381.88,0.2377,0.72802,0.9938,0.62811,0.89193,0.85246,0.80169,0.28406,0.89104,0.93188,0.00107675,0.00107675,0.00107675
9,430.038,0.23539,0.68806,0.99381,0.83696,0.85219,0.92558,0.91173,0.28222,0.62795,0.99748,0.001052,0.001052,0.001052
10,478.287,0.22845,0.65353,0.98717,0.75027,0.90844,0.92655,0.90857,0.24869,0.64159,0.91118,0.00102725,0.00102725,0.00102725
11,525.995,0.22516,0.61638,0.98837,0.90531,0.93135,0.98424,0.96745,0.26847,0.42771,0.90492,0.0010025,0.0010025,0.0010025
12,573.342,0.21807,0.58663,0.98231,0.92142,0.93376,0.98052,0.96503,0.27775,0.40722,1.00902,0.00097775,0.00097775,0.00097775
13,620.27,0.21531,0.56787,0.97577,0.84143,0.89404,0.959,0.95118,0.29158,0.49973,1.03405,0.000953,0.000953,0.000953
14,667.733,0.20689,0.51938,0.9662,0.9387,0.91649,0.9803,0.97544,0.22585,0.40413,0.86016,0.00092825,0.00092825,0.00092825
15,715.301,0.21051,0.53573,0.97349,0.94117,0.98221,0.99223,0.96678,0.33323,0.40606,0.97593,0.0009035,0.0009035,0.0009035
16,762.695,0.20219,0.48985,0.96662,0.94546,0.94693,0.99117,0.9808,0.22542,0.38444,0.82026,0.00087875,0.00087875,0.00087875
17,810.23,0.19359,0.46646,0.9612,0.95246,0.9629,0.98304,0.97967,0.22208,0.39204,0.83753,0.000854,0.000854,0.000854
18,857.282,0.19158,0.45163,0.96038,0.97424,0.96301,0.99149,0.97426,0.27888,0.31388,0.9176,0.00082925,0.00082925,0.00082925
19,904.494,0.19385,0.44063,0.96278,0.98314,0.99327,0.99453,0.9644,0.26838,0.40697,0.86405,0.0008045,0.0008045,0.0008045
20,952.736,0.18257,0.39859,0.9504,0.93039,0.9169,0.98609,0.98201,0.19002,0.46187,0.82165,0.00077975,0.00077975,0.00077975
21,1000.94,0.17949,0.39355,0.95246,0.91777,0.89465,0.98746,0.97797,0.21604,0.41182,0.81479,0.000755,0.000755,0.000755
22,1049.08,0.1764,0.41315,0.94957,0.96365,0.97394,0.99299,0.98964,0.20429,0.27852,0.8022,0.00073025,0.00073025,0.00073025
23,1097,0.17251,0.38629,0.94785,0.98993,0.99731,0.995,0.99477,0.19645,0.2157,0.78321,0.0007055,0.0007055,0.0007055
24,1145.17,0.16867,0.36425,0.94644,0.93542,0.96697,0.98045,0.96427,0.25576,0.33057,0.86079,0.00068075,0.00068075,0.00068075
25,1192.72,0.16969,0.36151,0.94773,0.95848,0.96663,0.995,0.99208,0.22457,0.30343,0.82783,0.000656,0.000656,0.000656
26,1240.59,0.16871,0.36539,0.94551,0.98975,0.99485,0.99486,0.99411,0.18913,0.24184,0.79123,0.00063125,0.00063125,0.00063125
27,1287.69,0.16017,0.3371,0.94479,0.97082,0.98574,0.99201,0.99065,0.18774,0.25748,0.76018,0.0006065,0.0006065,0.0006065
28,1335.92,0.15982,0.32417,0.93595,0.99073,0.9834,0.99493,0.99365,0.18244,0.23313,0.76112,0.00058175,0.00058175,0.00058175
29,1386.24,0.15722,0.32414,0.94191,0.91604,0.91253,0.99327,0.99176,0.22,0.32308,0.86294,0.000557,0.000557,0.000557
30,1435.81,0.15514,0.31476,0.94023,0.99355,0.99004,0.99498,0.99406,0.18593,0.25261,0.76859,0.00053225,0.00053225,0.00053225
31,1485.14,0.1522,0.30703,0.93884,0.99483,0.99916,0.99491,0.99491,0.17173,0.20183,0.73749,0.0005075,0.0005075,0.0005075
32,1534.8,0.1464,0.29661,0.92811,0.99672,0.99898,0.995,0.99434,0.17973,0.19612,0.74113,0.00048275,0.00048275,0.00048275
33,1583.4,0.14382,0.2873,0.93142,0.98998,0.99783,0.995,0.99435,0.18341,0.22169,0.77665,0.000458,0.000458,0.000458
34,1632.35,0.13937,0.28016,0.92973,0.99708,0.99739,0.995,0.995,0.17873,0.18952,0.74677,0.00043325,0.00043325,0.00043325
35,1681.03,0.14186,0.2894,0.92922,0.98922,0.99733,0.995,0.995,0.15938,0.17424,0.71982,0.0004085,0.0004085,0.0004085
36,1728.69,0.1363,0.27219,0.92455,0.99148,0.99361,0.99495,0.99495,0.15085,0.18329,0.71159,0.00038375,0.00038375,0.00038375
37,1775.89,0.13398,0.25517,0.92265,0.9858,0.99787,0.995,0.99485,0.16454,0.20081,0.71391,0.000359,0.000359,0.000359
38,1823.25,0.13373,0.26201,0.92976,0.99689,0.99925,0.995,0.99486,0.14827,0.18252,0.70607,0.00033425,0.00033425,0.00033425
39,1870.44,0.13556,0.25719,0.92487,0.89047,0.96996,0.98798,0.98543,0.13801,0.34377,0.69448,0.0003095,0.0003095,0.0003095
40,1918.32,0.13008,0.25177,0.92113,0.99686,0.99646,0.995,0.99489,0.14481,0.15841,0.69938,0.00028475,0.00028475,0.00028475
41,2001.67,0.11551,0.21991,0.86808,0.99925,0.99884,0.995,0.995,0.13285,0.15768,0.66909,0.00026,0.00026,0.00026
42,2049.22,0.10795,0.1897,0.859,0.99753,0.99953,0.995,0.99489,0.1401,0.15905,0.6989,0.00023525,0.00023525,0.00023525
43,2097.08,0.10667,0.17891,0.86,0.9962,0.9991,0.995,0.99495,0.1135,0.15064,0.66239,0.0002105,0.0002105,0.0002105
44,2146.66,0.10116,0.1666,0.85647,0.99913,1,0.995,0.995,0.12075,0.15442,0.6637,0.00018575,0.00018575,0.00018575
45,2196.48,0.10079,0.17249,0.85704,0.99839,1,0.995,0.995,0.1179,0.14719,0.65628,0.000161,0.000161,0.000161
46,2245.72,0.09629,0.15877,0.85829,0.99935,1,0.995,0.995,0.11778,0.13903,0.66145,0.00013625,0.00013625,0.00013625
47,2313.69,0.09345,0.15529,0.85409,0.99875,1,0.995,0.995,0.12245,0.14026,0.66499,0.0001115,0.0001115,0.0001115
48,2362.8,0.0901,0.1504,0.84943,0.99933,1,0.995,0.995,0.09835,0.13387,0.63363,8.675e-05,8.675e-05,8.675e-05
49,2411.63,0.08737,0.14772,0.84804,0.99935,1,0.995,0.995,0.10491,0.13339,0.63831,6.2e-05,6.2e-05,6.2e-05
50,2470.52,0.08664,0.14303,0.84872,0.99935,1,0.995,0.995,0.09884,0.12678,0.63002,3.725e-05,3.725e-05,3.725e-05
