epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5432,0.68452,2.66396,1.43841,0.43221,0.7095,0.5984,0.42139,1.08457,4.04249,2.15244,0.000412979,0.000412979,0.000412979
2,99.0009,0.39516,1.66037,1.1649,0.49582,0.84558,0.6551,0.59152,0.5721,2.72374,1.46793,0.000813219,0.000813219,0.000813219
3,151.257,0.33725,1.32706,1.10151,0.45276,0.76692,0.5777,0.52389,0.46822,1.96277,1.29863,0.00119696,0.00119696,0.00119696
4,198.988,0.31638,1.13957,1.06924,0.44889,0.82018,0.71292,0.69571,0.43338,1.39008,1.30083,0.00117575,0.00117575,0.00117575
5,247.167,0.28619,0.99237,1.04095,0.62736,0.80832,0.73905,0.70124,0.43096,1.04457,1.15058,0.001151,0.001151,0.001151
6,295.257,0.2674,0.85941,1.02333,0.61862,0.91748,0.82135,0.80456,0.26446,0.9248,0.96618,0.00112625,0.00112625,0.00112625
7,343.932,0.25319,0.80755,1.00881,0.4993,0.78847,0.58371,0.5738,0.28873,1.42875,1.02906,0.0011015,0.0011015,0.0011015
8,392.518,0.2377,0.72802,0.9938,0.62811,0.89193,0.85246,0.80169,0.28406,0.89104,0.93188,0.00107675,0.00107675,0.00107675
9,442.096,0.23539,0.68806,0.99381,0.83696,0.85219,0.92558,0.91173,0.28222,0.62795,0.99748,0.001052,0.001052,0.001052
10,491.11,0.22845,0.65353,0.98717,0.75027,0.90844,0.92655,0.90857,0.24869,0.64159,0.91118,0.00102725,0.00102725,0.00102725
11,540.682,0.22516,0.61638,0.98837,0.90531,0.93135,0.98424,0.96745,0.26847,0.42771,0.90492,0.0010025,0.0010025,0.0010025
12,591.803,0.21807,0.58663,0.98231,0.92142,0.93376,0.98052,0.96503,0.27775,0.40722,1.00902,0.00097775,0.00097775,0.00097775
13,642.282,0.21531,0.56787,0.97577,0.84143,0.89404,0.959,0.95118,0.29158,0.49973,1.03405,0.000953,0.000953,0.000953
